"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-05-11",,,"35","23"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-05-12",,,"32","25"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-05-13",,,"30","12"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-05-14",,,"41","35"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-05-15",,,"40","32"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-05-16",,,"35","32"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-05-17",,,"37","31"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-05-18",,,"39","33"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-05-19",,,"40","32"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-05-20",,,"43","33"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-05-21",,,"49","34"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-05-22",,,"45","35"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-05-23",,,"46","36"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-05-24",,,"46","34"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-05-25",,,"46","34"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-05-26",,,"47","32"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-05-27",,,"46","31"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-05-28",,,"50","31"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-05-29",,,"52","31"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-05-30",,,"53","32"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-05-31",,,"55","33"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-01","0.00",,,"33"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-02","0.00",,,"39"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-03","0.00",,,"41"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-04","0.00",,,"43"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-05","0.00",,,"45"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-06","0.10",,,"37"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-07","0.20",,,"40"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-08","0.20",,,"43"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-09","0.00",,,"39"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-10","0.50",,,"43"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-11","15.00",,,"44"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-12","0.00",,,"38"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-13","0.00",,,"35"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-14","0.00",,,"37"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-15","0.00",,,"34"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-16","0.00",,,"37"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-17","0.00",,,"32"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-18","0.00",,,"32"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-19","0.00",,,"31"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-20","0.00",,,"31"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-28",,,,"32"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-29",,,,"33"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-09-30",,,,"32"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-01",,,,"30"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-02",,,,"30"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-03",,,,"33"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-04",,,,"33"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-05",,,,"36"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-06",,,,"30"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-07",,,,"24"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-08",,,,"32"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-09",,,,"29"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-10",,,,"30"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-11",,,,"26"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-12",,,,"22"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-13",,,,"24"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-14",,,,"25"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-15",,,,"23"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-16",,,,"19"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-17",,,,"18"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-18",,,,"18"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-19",,,,"15"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-20",,,,"16"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-21",,,,"18"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-22",,,,"16"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-23",,,,"17"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-24",,,,"18"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-25",,,,"15"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-26",,,,"13"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-27",,,,"4"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-28",,,,"1"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-29",,,,"-2"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-30",,,,"-3"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-10-31",,,,"15"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-01",,,,"3"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-02",,,,"-3"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-03",,,,"-4"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-04",,,,"2"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-05",,,,"-6"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-06",,,,"-4"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-07",,,,"-2"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-08",,,,"-1"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-09",,,,"2"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-10",,,,"4"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-11",,,,"12"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-12",,,,"12"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-13",,,,"13"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-14",,,,"-22"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-15",,,,"13"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-16",,,,"4"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-17",,,,"4"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-18",,,,"6"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-19",,,,"15"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-20",,,,"6"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-21",,,,"-6"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-22",,,,"-1"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-23",,,,"-1"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-24",,,,"-2"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-25",,,,"1"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-26",,,,"12"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-27",,,,"-2"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-28",,,,"-1"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-29",,,,"-2"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-11-30",,,,"-11"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-01",,,,"-12"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-02",,,,"10"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-03",,,,"-1"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-04",,,,"-7"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-05",,,,"-16"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-06",,,,"-23"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-07",,,,"-24"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-08",,,,"-26"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-09",,,,"-24"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-10",,,,"-26"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-11",,,,"-28"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-12",,,,"-20"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-13",,,,"-30"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-14",,,,"-30"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-15",,,,"-23"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-16","0.00",,,"-23"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-17",,,,"5"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-18",,,,"-14"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-19",,,,"-12"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-20",,,,"-25"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-21",,,,"-5"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-22",,,,"-6"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-23",,,,"12"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-24",,,,"14"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-25",,,,"25"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-26",,,,"14"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-27",,,,"21"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-28",,,,"20"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-29",,,,"5"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-30",,,,"-6"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-12-31",,,,"-8"
